group,axis,value,description
Young,COE Remaining,67.2017673048601,The average COE remaining is 6.72 years.
Young,Price,100,The average price is $87004.
Young,Mileage,7.01014810999358,The average mileage is 54193km.
Young,Engine Power,49.2148191602175,The average engine power is 2038cc.
Young,Depreciation,57.6790986322829,The average depreciation is $17033 per year.
Median,COE Remaining,9.45508100147275,The average COE remaining is 2.799 years.
Median,Price,49.7949709864603,The average price is $54559.
Median,Mileage,32.3754529599407,The average mileage is 110332km.
Median,Engine Power,58.2511676180591,The average engine power is 2198.2cc.
Median,Depreciation,39.3384346568657,The average depreciation is $13989 per year.
Old,COE Remaining,33.0486008836524,The average COE remaining is 4.401 years.
Old,Price,21.6711798839458,The average price is $36384.
Old,Mileage,41.937538970369,The average mileage is 131495km.
Old,Engine Power,58.8772816497823,The average engine power is 2209.3cc.
Old,Depreciation,22.2751099596313,The average depreciation is $11157 per year.
